Test,Type,Name,Value,Enabled,Tags,Notes
ex3_final_ex_1,variable,wireopt,211,enabled,,
ex3_final_ex_1,variable,LB,2u,enabled,,
ex3_final_ex_1,variable,WB,200n,enabled,,
ex3_final_ex_1,variable,CL,8p,enabled,,
ex3_final_ex_1,variable,W1,380u,enabled,,
ex3_final_ex_1,variable,L1,200n,enabled,,
ex3_final_ex_1,variable,W2,10.3323u,enabled,,
ex3_final_ex_1,variable,L2,2.3u,enabled,,
ex3_final_ex_1,variable,W3,5u,enabled,,
ex3_final_ex_1,variable,L3,200n,enabled,,
ex3_final_ex_1,variable,W4,17.5u,enabled,,
ex3_final_ex_1,variable,L4,200n,enabled,,
ex3_final_ex_1,variable,L0,2u,enabled,,
ex3_final_ex_1,variable,W0,370.2u,enabled,,
ex3_final_ex_1,variable,L5,2u,enabled,,
ex3_final_ex_1,variable,W5,36.3u,enabled,,
ex3_final_ex_1,variable,L6,2u,enabled,,
ex3_final_ex_1,variable,W6,203u,enabled,,
ex3_final_ex_1,variable,CS,10p,enabled,,
ex3_final_ex_1,variable,W7,50u,enabled,,
ex3_final_ex_1,variable,L7,400n,enabled,,
ex3_final_ex_1,variable,W8,4.54797u,enabled,,
ex3_final_ex_1,variable,L8,1u,enabled,,
ex3_final_ex_1,variable,vin,1,enabled,,
ex3_final_ex_1,variable,Nfing,1,enabled,,
ex3_final_ex_1,variable,L_N1,200n,enabled,,
ex3_final_ex_1,variable,W_N1,10u,enabled,,
ex3_final_ex_1,variable,L_N2,3u,enabled,,
ex3_final_ex_1,variable,W_N2,30u,enabled,,
ex3_final_ex_1,variable,L_N3,3u,enabled,,
ex3_final_ex_1,variable,W_N3,92.8u,enabled,,
ex3_final_ex_1,variable,L_N4,3u,enabled,,
ex3_final_ex_1,variable,W_N4,3.08435u,enabled,,
ex3_final_ex_1,variable,L_N5,3u,enabled,,
ex3_final_ex_1,variable,W_N5,28.4642u,enabled,,
ex3_final_ex_1,variable,L_N6,1u,enabled,,
ex3_final_ex_1,variable,W_N6,15.7125u,enabled,,
ex3_final_ex_1,variable,L_N7,4u,enabled,,
ex3_final_ex_1,variable,W_N7,3.087u,enabled,,
ex3_final_ex_1,variable,L_P1,1u,enabled,,
ex3_final_ex_1,variable,W_P1,50.6231u,enabled,,
ex3_final_ex_1,variable,L_P2,200n,enabled,,
ex3_final_ex_1,variable,W_P2,124.312u,enabled,,
ex3_final_ex_1,variable,L_P3,200n,enabled,,
ex3_final_ex_1,variable,W_P3,70u,enabled,,
ex3_final_ex_1,variable,L_P4,2u,enabled,,
ex3_final_ex_1,variable,W_P4,2.4026u,enabled,,
ex3_final_ex_1,variable,L_P5,2u,enabled,,
ex3_final_ex_1,variable,W_P5,17.225u,enabled,,
ex3_final_ex_1,variable,L_P6,200n,enabled,,
ex3_final_ex_1,variable,W_P6,0.4u,enabled,,
ex3_final_ex_1,variable,L_P7,6u,enabled,,
ex3_final_ex_1,variable,W_P7,15.772u,enabled,,
ex3_final_ex_1,variable,Vd11,930m,enabled,,
ex3_final_ex_1,variable,Vs11,1.3,enabled,,
ex3_final_ex_1,variable,Vs33,1.6,enabled,,
ex3_final_ex_1,variable,Rin,50M,enabled,,
