Test,Type,Name,Value,Enabled,Tags,Notes
ex3_final_ex_1,variable,wireopt,211,enabled,,
ex3_final_ex_1,variable,CL,8p,enabled,,
ex3_final_ex_1,variable,W1,1m,enabled,,
ex3_final_ex_1,variable,L1,600n,enabled,,
ex3_final_ex_1,variable,W2,8.2u,enabled,,
ex3_final_ex_1,variable,L2,400n,enabled,,
ex3_final_ex_1,variable,W3,168.969u,enabled,,
ex3_final_ex_1,variable,L3,1u,enabled,,
ex3_final_ex_1,variable,W4,236.771u,enabled,,
ex3_final_ex_1,variable,L4,1u,enabled,,
ex3_final_ex_1,variable,L0,400n,enabled,,
ex3_final_ex_1,variable,W0,147.36u,enabled,,
ex3_final_ex_1,variable,L5,2u,enabled,,
ex3_final_ex_1,variable,W5,5u,enabled,,
ex3_final_ex_1,variable,L6,2u,enabled,,
ex3_final_ex_1,variable,W6,203u,enabled,,
ex3_final_ex_1,variable,CS,1k 10k 100k 1M 10M,enabled,,
ex3_final_ex_1,variable,W7,50u,enabled,,
ex3_final_ex_1,variable,L7,400n,enabled,,
ex3_final_ex_1,variable,W8,4.54797u,enabled,,
ex3_final_ex_1,variable,L8,1u,enabled,,
ex3_final_ex_1,variable,vin,1,enabled,,
ex3_final_ex_1,variable,Nfing,1,enabled,,
ex3_final_ex_1,variable,L_N1,200n,enabled,,
ex3_final_ex_1,variable,W_N1,10u,enabled,,
ex3_final_ex_1,variable,L_N2,3u,enabled,,
ex3_final_ex_1,variable,W_N2,30u,enabled,,
ex3_final_ex_1,variable,L_N3,3u,enabled,,
ex3_final_ex_1,variable,W_N3,92.8u,enabled,,
ex3_final_ex_1,variable,L_N4,3u,enabled,,
ex3_final_ex_1,variable,W_N4,3.08435u,enabled,,
ex3_final_ex_1,variable,L_N5,3u,enabled,,
ex3_final_ex_1,variable,W_N5,28.4642u,enabled,,
ex3_final_ex_1,variable,L_N6,1u,enabled,,
ex3_final_ex_1,variable,W_N6,15.7125u,enabled,,
ex3_final_ex_1,variable,L_N7,4u,enabled,,
ex3_final_ex_1,variable,W_N7,3.087u,enabled,,
ex3_final_ex_1,variable,L_P1,200u,enabled,,
ex3_final_ex_1,variable,W_P1,821.299u,enabled,,
ex3_final_ex_1,variable,L_P2,200n,enabled,,
ex3_final_ex_1,variable,W_P2,11.0919u,enabled,,
ex3_final_ex_1,variable,L_P3,200n:0.1:2u,enabled,,
ex3_final_ex_1,variable,W_P3,1u,enabled,,
ex3_final_ex_1,variable,L_P4,20u,enabled,,
ex3_final_ex_1,variable,W_P4,20.8061u,enabled,,
ex3_final_ex_1,variable,L_P5,2u,enabled,,
ex3_final_ex_1,variable,W_P5,17.225u,enabled,,
ex3_final_ex_1,variable,L_P6,200n,enabled,,
ex3_final_ex_1,variable,W_P6,0.4u,enabled,,
ex3_final_ex_1,variable,L_P7,20u,enabled,,
ex3_final_ex_1,variable,W_P7,5.12141u,enabled,,
ex3_final_ex_1,variable,Vd11,930m,enabled,,
