Type,Name,Value,Enabled,Tags,Notes
variable,wireopt,211,enabled,,
variable,LB,2u,enabled,,
variable,WB,204n,enabled,,
variable,CL,8p,enabled,,
variable,W1,380u,enabled,,
variable,L1,200n,enabled,,
variable,W2,41.6u,enabled,,
variable,L2,2u,enabled,,
variable,W3,51u,enabled,,
variable,L3,402n,enabled,,
variable,W4,310u,enabled,,
variable,L4,530n,enabled,,
variable,L0,1u,enabled,,
variable,W0,643.9u,enabled,,
variable,L5,2u,enabled,,
variable,W5,435u,enabled,,
variable,L6,2u,enabled,,
variable,W6,203u,enabled,,
variable,CS,50p,enabled,,
variable,W7,110u,enabled,,
variable,L7,2u,enabled,,
variable,W8,4.9u,enabled,,
variable,L8,1u,enabled,,
variable,vin,0.31,enabled,,
variable,Nfing,1,enabled,,
variable,L_N1,200n,enabled,,
variable,W_N1,10u,enabled,,
variable,L_N2,3u,enabled,,
variable,W_N2,30u,enabled,,
variable,L_N3,3u,enabled,,
variable,W_N3,92.8u,enabled,,
variable,L_N4,3u,enabled,,
variable,W_N4,3.08435u,enabled,,
variable,L_N5,3u,enabled,,
variable,W_N5,28.4642u,enabled,,
variable,L_N6,1u,enabled,,
variable,W_N6,15.7125u,enabled,,
variable,L_N7,4u,enabled,,
variable,W_N7,3.087u,enabled,,
variable,L_P1,1u,enabled,,
variable,W_P1,50.6231u,enabled,,
variable,L_P2,200n,enabled,,
variable,W_P2,124.312u,enabled,,
variable,L_P3,200n,enabled,,
variable,W_P3,70u,enabled,,
variable,L_P4,2u,enabled,,
variable,W_P4,2.4026u,enabled,,
variable,L_P5,2u,enabled,,
variable,W_P5,17.225u,enabled,,
variable,L_P6,200n,enabled,,
variable,W_P6,0.4u,enabled,,
variable,L_P7,6u,enabled,,
variable,W_P7,15.772u,enabled,,
variable,Vd11,930m,enabled,,
variable,Vs11,1.3,enabled,,
variable,Vs33,1.6,enabled,,
variable,Rin,50M,enabled,,
variable,WBIASN,3u,enabled,,
variable,LB1,4u,enabled,,
variable,WB1,7.6u,enabled,,
variable,WB2,42u,enabled,,
variable,WB3,4u,enabled,,
variable,res,214.3M,enabled,,
